country,factor,theme,real_beta,real_beta_t,bei_beta,bei_beta_t,mkt_beta,pre_mean,pre_vol,post_mean,n_pre,n_post,post_mean_2022,post_mean_2023,post_mean_2024
isr,seas_1_1an,intangibles,-0.00839012342001105,-0.5050207127955959,-0.02611398691958081,-0.9685824996570385,0.06791009228257089,0.003292489169833931,0.041767638789261596,-6.355242533912647e-07,227,48,0.009113477631283675,0.001566368935513025,0.000754149518013383
isr,seas_1_1na,intangibles,-0.01796305724323303,-1.3751771611728154,-0.07975707945063801,-2.552316144437141,-0.24302583029084493,0.008689842534765312,0.046830280168918874,0.008698298144436569,227,48,0.002948622408092884,0.002741903441472383,0.014857878592643356
isr,seas_2_5an,intangibles,0.002377036526951046,0.17043548760035152,0.05201595196838776,3.3163226135623765,0.10690749138746973,0.004090426483682933,0.036049743925905015,-0.006378013465712193,227,48,-0.003859170916906791,-0.003753641197271117,-0.004648286623135233
isr,seas_2_5na,intangibles,0.0023745657574982255,0.17042741335495737,-0.05847490951310537,-1.4942287277039488,-0.12860728661519422,-0.001625457946207217,0.047238715531234876,0.005527974437608819,227,48,0.028511732540847236,-0.003256946964578626,0.011326825639898641
isr,seas_6_10an,intangibles,0.022410562316871795,1.081668637507122,-0.024137921494265854,-1.0718083055177434,-0.11962053771654008,0.0017314144943476096,0.040536731617924086,-0.004259219997502098,203,48,-0.014215399238844233,0.003953255713600217,-0.000625817188917558
isr,seas_6_10na,intangibles,0.035067804974787696,2.3204491193438,-0.00973022916573644,-0.6847466556880244,-0.025927058240693975,0.003958092200608822,0.03993305299819447,0.01015414335834044,203,48,0.014550436255216315,-0.002776911204513857,0.016503896448816016
isr,sti_gr1a,investment,0.021375205858814018,1.745874287275618,0.01718740457275082,0.9854951006564743,0.020446878835374608,0.0019373906906736383,0.03616958797790776,-0.0015279158682105145,227,48,-0.01673661582633294,-0.00035284026688930736,0.005093454053530484
isr,taccruals_at,investment,-0.0013926560076213393,-0.08459170364440588,0.030377250984557028,1.7644853018478013,0.11873645066042636,-0.0024362274127501657,0.03927531455448304,-0.007234319450966183,227,48,-0.007475118825568425,-0.02135213061455303,-0.0024490738277563647
isr,taccruals_ni,investment,0.007595958535813313,0.385560443073884,0.054347213174846525,2.3498704417486684,0.20098113714527427,-0.00026302824788501753,0.04353737577477038,-0.003855896052299789,227,48,0.008614628641569373,-0.021952089199771863,0.003981180072693074
isr,tangibility,intangibles,0.0018074955460969113,0.11848896568958814,0.021245702719619605,1.0054142873140113,0.13555909210197403,0.0016838860320144212,0.04484863261315349,0.002871383014515611,227,48,0.000559079794538217,-0.004818039851804974,0.0007897052247170083
isr,tax_gr1a,momentum,0.01052310369340593,1.100324650560155,-0.035291063247663366,-2.230372781287422,-0.0923516265278174,0.0051884415714733715,0.03293592222739531,-0.0010564489646872188,227,48,-0.002618656451845233,-0.005291801098257516,0.00873201928772765
isr,turnover_126d,trading frictions,-0.0018421214897080106,-0.1362994736142034,-0.0466124127448049,-2.0345073757994294,-0.22191743541703235,-0.0010686974518123184,0.035554862920869894,-0.00799084298611926,227,48,-0.009587681006453191,-0.00675281311794475,0.0044822062457831255
